hotel_id,hotel_category,hotel_name_length,hotel_description_length,hotel_photos_qty
4dbcff4541ed26657ea517e51e9e8ef0,65,40.0,287.0,1.0
1139cb16b67ca9e5dea641aaa2f3aa07,72,44.0,276.0,1.0
c8810374ed1b65e291975717f96bd76e,69,46.0,250.0,1.0
66a932b7673e239eb23dcef67bcfe190,18,27.0,261.0,1.0
74444849c219cff195d0b719dc1a7de2,11,37.0,402.0,4.0
92049fa1779bb35283ed1341d3672d47,37,60.0,745.0,1.0
30fe0a5f457d81becb732bd381ad09e5,19,56.0,1272.0,4.0
a690cf3eb6368e9ab61e2548af3e6e77,6,56.0,184.0,2.0
2be07708b53a98702e77a21a0237cc74,31,57.0,163.0,1.0
8cdf9d66dc7e4630255748c92109888e,10,36.0,1156.0,1.0
5522b47b4b29c98dcb914aa47b7fe5c2,28,54.0,630.0,1.0
6691530586ae020c34551403b63c5fc1,18,49.0,728.0,4.0
a8edaaac1d28fdb16e48fc22cf55509e,37,43.0,1827.0,3.0
16194f96496660c7c27bb6f29c2be577,6,51.0,2083.0,2.0
f202c859463d8c7415eb31436580a610,1,59.0,1602.0,4.0
e6732727d8d838a7b13b33bb7f144022,69,22.0,3021.0,1.0
3d2cdb88e0432f1284a004c6a2fb4dd5,65,39.0,346.0,2.0
fd8da4aeefba108a24a1b71017a84f92,2,59.0,636.0,1.0
6cead290e30b578413b6a0736b92e52f,6,56.0,296.0,2.0
cf245e579ea37e5ec51f0f53103a77d9,28,52.0,206.0,1.0
90cd54008a3c33029211c1890ba17790,6,27.0,158.0,4.0
2c2b3a255e326a4594ba15d9518ef5de,28,27.0,329.0,2.0
d89d2602272b315c3f6ee3e020af31d4,7,58.0,1987.0,3.0
bc2b984a12030090112324d1bc48b41f,18,55.0,1627.0,1.0
af9fff4b98f1c972315e5e9efd03bd02,6,56.0,209.0,1.0
4ae695d26e5626c1bf710975e8ba4f2a,11,52.0,968.0,1.0
b753bab6f35abe2d06f6574524b07d5b,36,52.0,573.0,5.0
00efb70c1bcccab87c28cd5c78b767da,2,35.0,1101.0,2.0
43394dd4da9a5d7b1f546f1a32a0253d,2,59.0,1890.0,2.0
5c0a6655a15ff296f80d051b9ff13dd5,69,50.0,529.0,2.0
ca9dd7485cbd93c3e8993bb74f47859f,28,45.0,206.0,1.0
2e9f8122a4ec1533b032c12562e1d1d2,17,49.0,1163.0,9.0
4061d3578def47a8648b20e37962088a,6,60.0,208.0,1.0
81a0e2fbab499ed4e11eba879220bd09,50,57.0,476.0,1.0
91118daffb3af53b747475ce5b91848b,69,50.0,699.0,4.0
213393979691c980742655845370b82a,18,52.0,708.0,9.0
06a97e64943234522572b9b8dac5113b,73,43.0,1062.0,2.0
27191920eda79a4b6fb479750cf819d1,35,31.0,806.0,1.0
94343b45b56304ad91974a110b9e6af6,11,37.0,352.0,1.0
4c570dad71c0a2844cfbf41705468087,6,47.0,502.0,1.0
4f5297f7ff0ec6d95fe1ea8b3a9476f7,6,63.0,254.0,2.0
81a20f21f7576948661c6fb703c624b3,10,33.0,471.0,2.0
d7dff59ba38cf2fe29b87f9db46052ae,28,56.0,509.0,4.0
03180d5a6a3f830e67f93e8735b864b1,18,47.0,980.0,4.0
c642e4df33adcf033037a8dac4aaa16b,19,38.0,1701.0,2.0
7ff6aafb9e01d6cbf383b9bc6aae6f52,10,20.0,866.0,3.0
b3a1c75b73d6151be81eb05bdc95f504,19,38.0,1176.0,3.0
ac72007a726e6f419156f8fbbf920aa6,6,42.0,303.0,2.0
d83e530c27a8e6368296aece48c3b7e4,6,60.0,1972.0,2.0
8e912d7e3b6beb48ecb56e8c5d807927,7,60.0,330.0,1.0
c445b3fd43d1b682809fd5eaa343860d,69,53.0,3218.0,5.0
35a7a52227e08f220ee7b5cfb1d3c5e4,19,55.0,410.0,2.0
4cba98064050db1c9636e244334479e9,73,57.0,311.0,1.0
e610c62edfb51de2630cd9ef43fcd8df,18,50.0,509.0,4.0
